ICODE,INAME,INAME1,OICODE,FICODE,QTY,RATE,SRATE,IVAL,IAMT,INVNO,PCODE,ODATE,DBC
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,170.7,,341.4,341.4,TIC/0504,R0019,30-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,170.7,,512.1,512.1,TIC/0511,S0056,30-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,170.7,,341.4,341.4,TIC/0515,S0047,30-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,97.5,,97.5,97.5,TIC/0517,K0013,30-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.22,,398.44,398.44,TIC/0518,J0010,31-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.22,,398.44,398.44,TIC/0528,G0018,01-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.22,,398.44,398.44,TIC/0529,B0004,01-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0527,M0030,01-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,170.7,,512.1,512.1,TIC/0521,J0009,01-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.22,,398.44,398.44,TIC/0531,J0014,01-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.22,,398.44,398.44,TIC/0538,D0014,02-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,5,199.22,,996.1,996.1,TIC/0537,F0009,02-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.22,,398.44,398.44,TIC/0534,K0012,02-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,119.84,,119.84,119.84,TIC/0543,P0016,02-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0599,H0034,04-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.2,,398.4,398.4,TIC/0549,J0009,06-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.22,,398.44,398.44,TIC/0580,K0013,06-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.22,,398.44,398.44,TIC/0589,R0019,06-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.22,,398.44,398.44,TIC/0591,J0009,06-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.22,,398.44,398.44,TIC/0608,D0017,06-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,5,199.2,,996,996,TIC/0560,S0056,07-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,4,199.2,,796.8,796.8,TIC/0550,P0009,08-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,4,199.2,,796.8,796.8,TIC/0552,P0011,08-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.2,,597.6,597.6,TIC/0553,M0020,08-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,5,199.2,,996,996,TIC/0554,H0035,08-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.22,,597.66,597.66,TIC/0556,H0036,08-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.2,,597.6,597.6,TIC/0557,N0007,08-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,5,199.22,,996.1,996.1,TIC/0561,S0045,08-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0571,B0004,09-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,5,199.22,,996.1,996.1,TIC/0576,D0017,09-06-12,SALE
