ICODE,INAME,INAME1,OICODE,FICODE,IGCODE,UNIT,AQTY,QTY,FQTY,FAMT,SCHNO,SCHTYPE,RATE,SRATE,IVAL,IAMT,INVNO,DINVNO,PCODE,NAME,PCODEC,ARCODE,CATCD,DATE,IO,DESC,DBC,NT,TYCODE,DUM_INVNO,USER,CDATE,TIME,VAT,AVAT,PRODID,VATAMT,AVATAMT,DPCODE,PRINTED
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,4.000,0.000,0.00,,,199.22,,796.88,796.88,TIC/0836,,P0011,,ISLTX,D02,PR,19-07-12,O,,SALE,,VATIC,,TEM,19-07-12,12:08:41,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.22,,597.66,597.66,TIC/0838,,S0045,,ISLTX,N01,SS,20-07-12,O,,SALE,,VATIC,,TEM,20-07-12,10:45:04,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0839,,R0014,,ISLTX,M01,SS,20-07-12,O,,SALE,,VATIC,,TEM,20-07-12,10:46:10,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0849,,N0007,,ISLTX,N01,CT,21-07-12,O,,SALE,,VATIC,,TEM,20-07-12,20:00:36,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0856,,R0019,,ISLTX,N01,,23-07-12,O,,SALE,,VATIC,,TEM,22-07-12,19:10:02,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0859,,K0012,,ISLTX,N01,PR,23-07-12,O,,SALE,,VATIC,,TEM,23-07-12,15:31:16,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0860,,M0031,,ISLTX,M01,,23-07-12,O,,SALE,,VATIC,,TEM,23-07-12,15:32:09,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.22,,597.66,597.66,TIC/0865,,N0007,,ISLTX,N01,CT,24-07-12,O,,SALE,,VATIC,,TEM,26-07-12,10:05:17,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0867,,M0020,,ISLTX,M01,SS,25-07-12,O,,SALE,,VATIC,,TEM,25-07-12,16:00:04,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,5.000,0.000,0.00,,,199.22,,996.10,996.10,TIC/0869,,H0036,,ISLTX,D02,BR,25-07-12,O,,SALE,,VATIC,,TEM,25-07-12,09:45:12,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0872,,A0016,,ISLTX,N01,ST,25-07-12,O,,SALE,,VATIC,,TEM,26-07-12,10:09:56,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0873,,K0012,,ISLTX,N01,PR,25-07-12,O,,SALE,,VATIC,,TEM,25-07-12,16:32:15,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0877,,N0007,,ISLTX,N01,CT,26-07-12,O,,SALE,,VATIC,,TEM,26-07-12,12:37:00,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/0894,,D0017,,ISLTX,N01,PR,30-07-12,O,,SALE,,VATIC,,TEM,30-07-12,15:55:21,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/0895,,S0048,,ISLTX,M01,JC,30-07-12,O,,SALE,,VATIC,,TEM,30-07-12,16:02:19,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,20.000,0.000,0.00,,,113.80,,2276.00,2276.00,TIC/0004,,D0017,,ISLTX,N01,PR,02-08-12,O,,SALE,,VATIC,,TEM,23-03-13,10:02:25,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/0923,,D0017,,ISLTX,N01,PR,04-08-12,O,,SALE,,VATIC,,TEM,04-08-12,19:46:49,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/0934,,J0009,,ISLTX,,,06-08-12,O,,SALE,,VATIC,,TEM,06-08-12,11:45:13,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/0939,,R0019,,ISLTX,N01,,08-08-12,O,,SALE,,VATIC,,TEM,08-08-12,18:53:39,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/0940,,H0035,,ISLTX,M01,H1,08-08-12,O,,SALE,,VATIC,,TEM,08-08-12,12:20:03,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.10,,597.30,597.30,TIC/0958,,N0007,,ISLTX,N01,CT,09-08-12,O,,SALE,,VATIC,,TEM,09-08-12,17:49:25,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.10,,597.30,597.30,TIC/0948,,H0035,,ISLTX,M01,H1,10-08-12,O,,SALE,,VATIC,,TEM,10-08-12,10:12:15,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/0952,,J0014,,ISLTX,N01,PR,10-08-12,O,,SALE,,VATIC,,TEM,09-08-12,16:05:07,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/0954,,K0012,,ISLTX,N01,PR,10-08-12,O,,SALE,,VATIC,,TEM,09-08-12,16:04:52,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,4.000,0.000,0.00,,,199.10,,796.40,796.40,TIC/0949,,D0017,,ISLTX,N01,PR,11-08-12,O,,SALE,,VATIC,,TEM,11-08-12,10:39:44,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/0963,,H0041,,ISLTX,D02,BR,11-08-12,O,,SALE,,VATIC,,TEM,11-08-12,10:47:37,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/0968,,H0036,,ISLTX,D02,BR,11-08-12,O,,SALE,,VATIC,,TEM,11-08-12,10:53:12,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.10,,597.30,597.30,TIC/0974,,S0045,,ISLTX,N01,SS,11-08-12,O,,SALE,,VATIC,,TEM,11-08-12,16:45:16,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/0978,,D0017,,ISLTX,N01,PR,13-08-12,O,,SALE,,VATIC,,TEM,13-08-12,12:02:22,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/0981,,M0025,,ISLTX,N01,ST,13-08-12,O,,SALE,,VATIC,,TEM,20-03-13,12:13:29,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/0985,,H0041,,ISLTX,D02,BR,13-08-12,O,,SALE,,VATIC,,TEM,13-08-12,17:28:19,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,6.000,0.000,0.00,,,170.70,,1024.20,1024.20,TIC/0383,,D0017,,ISLTX,N01,PR,16-08-12,O,,SALE,,VATIC,,TEM,04-09-12,11:03:47,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,4.000,0.000,0.00,,,199.10,,796.40,796.40,TIC/1036,,D0017,,ISLTX,N01,PR,22-08-12,O,,SALE,,VATIC,,TEM,25-08-12,17:16:26,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.22,,597.66,597.66,TIC/0456,,D0017,,ISLTX,N01,PR,23-08-12,O,,SALE,,VATIC,,TEM,04-09-12,11:04:36,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.10,,597.30,597.30,TIC/1032,,H0041,,ISLTX,D02,BR,23-08-12,O,,SALE,,VATIC,,TEM,22-08-12,16:09:38,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/1033,,P0011,,ISLTX,D02,PR,23-08-12,O,,SALE,,VATIC,,TEM,22-08-12,16:09:44,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/1035,,B0004,,ISLTX,N01,PR,23-08-12,O,,SALE,,VATIC,,TEM,23-08-12,15:54:28,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,113.80,,341.40,341.40,TIC/0468,,D0017,,ISLTX,N01,PR,24-08-12,O,,SALE,,VATIC,,TEM,04-09-12,11:04:59,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/1038,,H0035,,ISLTX,M01,H1,24-08-12,O,,SALE,,VATIC,,TEM,23-08-12,15:53:50,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.10,,597.30,597.30,TIC/1039,,N0007,,ISLTX,N01,CT,24-08-12,O,,SALE,,VATIC,,TEM,25-08-12,17:16:42,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/1042,,S0056,,ISLTX,,,24-08-12,O,,SALE,,VATIC,,TEM,25-08-12,17:17:00,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/1044,,D0017,,ISLTX,N01,PR,24-08-12,O,,SALE,,VATIC,,TEM,24-08-12,17:55:46,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.10,,597.30,597.30,TIC/1046,,K0012,,ISLTX,N01,PR,24-08-12,O,,SALE,,VATIC,,TEM,25-08-12,17:17:31,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1047,,R0019,,ISLTX,N01,,24-08-12,O,,SALE,,VATIC,,TEM,25-08-12,17:17:35,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1067,,M0025,,ISLTX,N01,ST,29-08-12,O,,SALE,,VATIC,,TEM,28-08-12,20:05:28,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/1076,,N0007,,ISLTX,N01,CT,30-08-12,O,,SALE,,VATIC,,TEM,29-08-12,11:37:19,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1087,,P0015,,ISLTX,N01,PR,31-08-12,O,,SALE,,VATIC,,TEM,30-08-12,19:01:11,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1090,,J0010,,ISLTX,N01,ST,31-08-12,O,,SALE,,VATIC,,TEM,03-09-12,12:47:26,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/1094,,H0036,,ISLTX,D02,BR,31-08-12,O,,SALE,,VATIC,,TEM,03-09-12,12:47:39,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/1078,,K0012,,ISLTX,N01,PR,01-09-12,O,,SALE,,VATIC,,TEM,31-08-12,11:19:42,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,6.000,0.000,0.00,,,199.10,,1194.60,1194.60,TIC/1079,,D0017,,ISLTX,N01,PR,01-09-12,O,,SALE,,VATIC,,TEM,31-08-12,17:38:36,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/1081,,S0061,,ISLTX,N01,KI,02-09-12,O,,SALE,,VATIC,,TEM,02-09-12,10:23:47,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1082,,M0022,,ISLTX,N01,ST,02-09-12,O,,SALE,,VATIC,,TEM,02-09-12,10:23:52,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1096,,H0057,,ISLTX,N01,,02-09-12,O,,SALE,,VATIC,,TEM,02-09-12,10:23:10,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1100,,H0028,,ISLTX,N01,PR,02-09-12,O,,SALE,,VATIC,,TEM,01-09-12,17:57:16,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1102,,R0019,,ISLTX,N01,,02-09-12,O,,SALE,,VATIC,,TEM,01-09-12,17:57:06,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1114,,N0007,,ISLTX,N01,CT,03-09-12,O,,SALE,,VATIC,,TEM,03-09-12,12:44:27,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/1115,,J0014,,ISLTX,N01,PR,03-09-12,O,,SALE,,VATIC,,TEM,03-09-12,12:45:59,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,5.000,0.000,0.00,,,199.10,,995.50,995.50,TIC/1119,,D0017,,ISLTX,N01,PR,03-09-12,O,,SALE,,VATIC,,TEM,05-09-12,13:28:42,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.10,,597.30,597.30,TIC/1077,,S0045,,ISLTX,N01,SS,04-09-12,O,,SALE,,VATIC,,TEM,04-09-12,11:12:04,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.10,,597.30,597.30,TIC/1135,,N0007,,ISLTX,N01,CT,09-09-12,O,,SALE,,VATIC,,TEM,09-09-12,10:11:22,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/1138,,H0035,,ISLTX,M01,H1,09-09-12,O,,SALE,,VATIC,,TEM,09-09-12,10:11:04,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1140,,V0012,,ISLTX,N01,PR,09-09-12,O,,SALE,,VATIC,,TEM,11-09-12,10:36:28,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1148,,J0014,,ISLTX,N01,PR,10-09-12,O,,SALE,,VATIC,,TEM,13-09-12,12:19:13,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1150,,K0012,,ISLTX,N01,PR,11-09-12,O,,SALE,,VATIC,,TEM,13-09-12,12:19:35,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/1153,,S0053,,ISLTX,N01,PR,12-09-12,O,,SALE,,VATIC,,TEM,13-09-12,12:19:59,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.10,,597.30,597.30,TIC/1155,,N0007,,ISLTX,N01,CT,14-09-12,O,,SALE,,VATIC,,TEM,13-09-12,12:23:16,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/1160,,R0019,,ISLTX,N01,,14-09-12,O,,SALE,,VATIC,,TEM,13-09-12,19:04:18,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1163,,B0004,,ISLTX,N01,PR,15-09-12,O,,SALE,,VATIC,,TEM,13-09-12,19:07:53,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,4.000,0.000,0.00,,,113.80,,455.20,455.20,TIC/1170,,N0007,,ISLTX,N01,CT,15-09-12,O,,SALE,,VATIC,,TEM,15-09-12,19:18:36,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,6.000,0.000,0.00,,,113.80,,682.80,682.80,TIC/1172,,D0017,,ISLTX,N01,PR,15-09-12,O,,SALE,,VATIC,,TEM,15-09-12,20:42:36,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,1.000,0.000,0.00,,,113.80,,113.80,113.80,TIC/1181,,S0047,,ISLTX,M01,PR,17-09-12,O,,SALE,,VATIC,,TEM,16-09-12,17:16:18,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,1.000,0.000,0.00,,,113.80,,113.80,113.80,TIC/1182,,M0022,,ISLTX,N01,ST,17-09-12,O,,SALE,,VATIC,,TEM,16-09-12,17:16:14,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,3.000,0.000,0.00,,,113.80,,341.40,341.40,TIC/1186,,S0045,,ISLTX,N01,SS,17-09-12,O,,SALE,,VATIC,,TEM,16-09-12,17:52:18,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,1.000,0.000,0.00,,,113.80,,113.80,113.80,TIC/1185,,R0014,,ISLTX,M01,SS,18-09-12,O,,SALE,,VATIC,,TEM,17-09-12,18:06:53,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,1.000,0.000,0.00,,,113.80,,113.80,113.80,TIC/1190,,J0010,,ISLTX,N01,ST,18-09-12,O,,SALE,,VATIC,,TEM,19-09-12,17:14:28,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,2.000,0.000,0.00,,,113.80,,227.60,227.60,TIC/1196,,O0005,,ISLTX,N01,ST,18-09-12,O,,SALE,,VATIC,,TEM,19-09-12,17:17:01,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,4.000,0.000,0.00,,,199.10,,796.40,796.40,TIC/1199,,H0035,,ISLTX,M01,H1,19-09-12,O,,SALE,,VATIC,,TEM,18-09-12,17:15:32,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,1.000,0.000,0.00,,,113.80,,113.80,113.80,TIC/1201,,K0012,,ISLTX,N01,PR,19-09-12,O,,SALE,,VATIC,,TEM,18-09-12,17:15:21,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,1.000,0.000,0.00,,,113.80,,113.80,113.80,TIC/1202,,K0009,,ISLTX,N01,KI,19-09-12,O,,SALE,,VATIC,,TEM,18-09-12,17:15:17,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,2.000,0.000,0.00,,,113.80,,227.60,227.60,TIC/1208,,G0010,,ISLTX,V01,ST,20-09-12,O,,SALE,,VATIC,,TEM,18-09-12,17:26:31,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,6.000,0.000,0.00,,,113.80,,682.80,682.80,TIC/1210,,S0061,,ISLTX,N01,KI,21-09-12,O,,SALE,,VATIC,,TEM,22-09-12,16:28:16,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,3.000,0.000,0.00,,,113.80,,341.40,341.40,TIC/1211,,D0017,,ISLTX,N01,PR,22-09-12,O,,SALE,,VATIC,,TEM,22-09-12,18:23:38,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.10,,597.30,597.30,TIC/1212,,N0007,,ISLTX,N01,CT,22-09-12,O,,SALE,,VATIC,,TEM,22-09-12,18:23:43,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,5.000,0.000,0.00,,,199.10,,995.50,995.50,TIC/1215,,D0017,,ISLTX,N01,PR,22-09-12,O,,SALE,,VATIC,,TEM,22-09-12,18:23:57,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/1218,,P0011,,ISLTX,D02,PR,22-09-12,O,,SALE,,VATIC,,TEM,01-10-12,10:03:40,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1224,,R0019,,ISLTX,N01,,22-09-12,O,,SALE,,VATIC,,TEM,22-09-12,19:15:39,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.10,,597.30,597.30,TIC/1229,,M0025,,ISLTX,N01,ST,23-09-12,O,,SALE,,VATIC,,TEM,23-09-12,09:23:00,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.10,,597.30,597.30,TIC/1233,,H0035,,ISLTX,M01,H1,23-09-12,O,,SALE,,VATIC,,TEM,08-10-12,13:15:43,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1235,,S0045,,ISLTX,N01,SS,23-09-12,O,,SALE,,VATIC,,TEM,08-10-12,13:19:02,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/1243,,K0012,,ISLTX,N01,PR,24-09-12,O,,SALE,,VATIC,,TEM,30-09-12,17:18:12,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1248,,M0022,,ISLTX,N01,ST,25-09-12,O,,SALE,,VATIC,,TEM,30-09-12,17:21:10,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1250,,R0019,,ISLTX,N01,,25-09-12,O,,SALE,,VATIC,,TEM,30-09-12,17:24:01,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/1253,,B0004,,ISLTX,N01,PR,25-09-12,O,,SALE,,VATIC,,TEM,30-09-12,17:25:19,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.10,,597.30,597.30,TIC/1278,,N0007,,ISLTX,N01,CT,29-09-12,O,,SALE,,VATIC,,TEM,29-09-12,19:17:56,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1267,,K0012,,ISLTX,N01,PR,29-09-12,O,,SALE,,VATIC,,TEM,30-09-12,17:31:54,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1268,,R0014,,ISLTX,M01,SS,29-09-12,O,,SALE,,VATIC,,TEM,30-09-12,17:33:05,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/1280,,J0009,,ISLTX,,,29-09-12,O,,SALE,,VATIC,,TEM,01-10-12,10:16:09,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,5.000,0.000,0.00,,,199.10,,995.50,995.50,TIC/1276,,S0045,,ISLTX,N01,SS,30-09-12,O,,SALE,,VATIC,,TEM,01-10-12,09:59:47,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.10,,597.30,597.30,TIC/1282,,H0034,,ISLTX,D02,PR,30-09-12,O,,SALE,,VATIC,,TEM,30-09-12,12:45:31,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1283,,P0009,,ISLTX,D02,PR,30-09-12,O,,SALE,,VATIC,,TEM,30-09-12,12:45:55,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/1298,,K0012,,ISLTX,N01,PR,03-10-12,O,,SALE,,VATIC,,TEM,02-10-12,18:31:07,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.10,,398.20,398.20,TIC/1299,,H0035,,ISLTX,M01,H1,03-10-12,O,,SALE,,VATIC,,TEM,02-10-12,18:31:03,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.10,,597.30,597.30,TIC/1301,,N0007,,ISLTX,N01,CT,03-10-12,O,,SALE,,VATIC,,TEM,02-10-12,18:30:54,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1308,,K0013,,ISLTX,P01,,04-10-12,O,,SALE,,VATIC,,TEM,03-10-12,18:23:11,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1337,,K0012,,ISLTX,N01,PR,07-10-12,O,,SALE,,VATIC,,TEM,08-10-12,18:22:32,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.10,,597.30,597.30,TIC/1357,,N0007,,ISLTX,N01,CT,08-10-12,O,,SALE,,VATIC,,TEM,09-10-12,09:41:10,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.10,,199.10,199.10,TIC/1332,,S0056,,ISLTX,,,09-10-12,O,,SALE,,VATIC,,TEM,08-10-12,10:38:46,,,,,,,
