ICODE,INAME,INAME1,OICODE,FICODE,IGCODE,UNIT,AQTY,QTY,FQTY,FAMT,SCHNO,SCHTYPE,RATE,SRATE,IVAL,IAMT,INVNO,DINVNO,PCODE,NAME,PCODEC,ARCODE,CATCD,DATE,IO,DESC,DBC,NT,TYCODE,DUM_INVNO,USER,CDATE,TIME,VAT,AVAT,PRODID,VATAMT,AVATAMT,DPCODE,PRINTED
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0229,,S0056,,ISLTX,,,01-05-12,O,,SALE,,VATIC,,TEM,22-06-12,10:13:36,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0226,,B0004,,ISLTX,N01,PR,01-05-12,O,,SALE,,VATIC,,TEM,22-06-12,10:46:49,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,3.000,0.000,0.00,,,113.80,,341.40,341.40,TIC/0232,,D0017,,ISLTX,N01,PR,02-05-12,O,,SALE,,VATIC,,TEM,12-06-12,10:04:09,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0241,,H0028,,ISLTX,N01,PR,02-05-12,O,,SALE,,VATIC,,TEM,22-06-12,10:52:23,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,170.70,,341.40,341.40,TIC/0506,,P0009,,ISLTX,D02,PR,03-05-12,O,,SALE,,VATIC,,TEM,23-06-12,10:52:11,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,6.000,0.000,0.00,,,199.22,,1195.32,1195.32,TIC/0509,,N0007,,ISLTX,N01,CT,03-05-12,O,,SALE,,VATIC,,TEM,04-09-12,10:56:04,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,119.30,,357.90,357.90,TIC/0262,,J0014,,ISLTX,N01,PR,05-05-12,O,,SALE,,VATIC,,TEM,03-07-12,17:57:49,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,3.000,0.000,0.00,,,113.80,,341.40,341.40,TIC/0267,,N0007,,ISLTX,N01,CT,06-05-12,O,,SALE,,VATIC,,TEM,12-06-12,09:23:31,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,113.80,,341.40,341.40,TIC/0277,,K0012,,ISLTX,N01,PR,06-05-12,O,,SALE,,VATIC,,TEM,22-06-12,10:43:51,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,6.000,0.000,0.00,,,199.22,,1195.32,1195.32,TIC/0273,,O0006,,ISLTX,D02,PR,06-05-12,O,,SALE,,VATIC,,TEM,23-06-12,19:37:42,,,,,,,
